detector,n_trials,accuracy,f1,tpr,fpr,precision
Spike_AND(GatedMAD+GatedZScore),120,0.9924587590961539,0.0034124999999999997,0.06416666666666666,0.007165,0.0018066666666666667
GatedZScore(n=2),120,0.9922458199495171,0.003630833333333333,0.06541666666666666,0.007375833333333333,0.0019558333333333333
"ZScore(w=20, thr=3.0)",120,0.9486378099528995,0.0016925,0.3783333333333333,0.05103,0.0008558333333333333
GatedMAD(n=2),120,0.9439687687925764,0.004195,0.34625000000000006,0.05579750000000001,0.002130833333333333
Spike_OR(GatedMAD+GatedZScore),120,0.9437558296459396,0.00421,0.34750000000000003,0.05601666666666667,0.0021383333333333332
GatedCUSUM(n=2),120,0.9427159927213613,0.022265833333333332,0.28,0.057065833333333336,0.014755833333333333
"CUSUM(k=0.5, h=3.5)",120,0.8798180749530122,0.007454166666666666,0.48000000000000004,0.12003166666666668,0.004004166666666666
"PageHinkley(delta=0.5, lambda=12.0)",120,0.8608829191710186,0.002098333333333333,0.3458333333333333,0.13889583333333333,0.0010758333333333334
"MAD(w=20, thr=3.5)",120,0.8536517698605145,0.002170833333333333,0.6554166666666668,0.14619583333333336,0.0010891666666666667
GatedEWMA(n=2),120,0.8095750465921253,0.005803333333333333,0.42250000000000004,0.1903175,0.003074166666666667
Sustained_OR(GatedEWMA+GatedCUSUM),120,0.8089747877004306,0.005713333333333333,0.43083333333333335,0.19091833333333333,0.00302
TwoLayerEnsemble,120,0.8035283326218677,0.00505,0.46625,0.19638333333333333,0.0026283333333333336
"EWMA(lambda=0.2, L=3.5)",120,0.796387250945076,0.005396666666666667,0.5054166666666666,0.203525,0.002815833333333334
"SlidingWindow(mean, w=20, thr=3.0)",120,0.7141279582213387,0.0019108333333333334,0.26999999999999996,0.28572583333333335,0.0009816666666666665
